citekey,title,toolname,year,venue,artifact_type,primary_stage,primary_label,QAC1,QAC2,QAC3,QAC4,QAC5,QAC_total,secondary_labels,technique_tags,layer_tag,vuln_type,coding_basis,evidence_source,evidence_span,evidence_charspan,matched_cue,rule_id,notes,QAC_total_3,qac_basis,needs_manual_qac_review,qc_primary_single,qc_evidence_nonempty,qc_secondary_delimiter_ok,needs_abstract_review,needs_labelset_validation,tax_level1,tax_level2,tax_level3,tax_level4,tax_level5,tax_path_full,tax_alt_paths,tax_source,QAC_pass_total_ge4,QAC_threshold
Just2014Defects4J,Defects4J: a database of existing faults to enable controlled testing studies for Java programs,Defects4J,2014,Proceedings of the 2014 International Symposium on Software Testing and Analysis,dataset/benchmark,,,0,1,1,1,1,4,,,,,resource,title,Defects4J: a database of existing faults to enable controlled testing studies for Java programs,,,,Dataset/benchmark resource; excluded from VM-stage assignment in taxonomy coding.,4,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Dataset/Benchmark,,,,,,,artifact_type,TRUE,4
moyix2016lava,LAVA: Large-scale automated vulnerability addition,LAVA,2016,"Security and Privacy (SP), 2016 IEEE Symposium on",dataset/benchmark,,,1,0,1,1,1,4,,,,,resource,title,LAVA: Large-scale automated vulnerability addition,,,,Dataset/benchmark resource; excluded from VM-stage assignment in taxonomy coding.,4,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Dataset/Benchmark,,,,,,,artifact_type,TRUE,4
nist_sard,{Software Assurance Reference Dataset (SARD)},SARD,2017,[Online]. Available: \url{https://samate.nist.gov/SARD/index.php},dataset/benchmark,,,1,1,1,1,1,5,,,,,resource,title,{Software Assurance Reference Dataset (SARD)},,,,Dataset/benchmark resource; excluded from VM-stage assignment in taxonomy coding.,4,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Dataset/Benchmark,,,,,,,artifact_type,TRUE,4
SPANOS2018A,A multi-target approach to estimate software vulnerability characteristics and severity scores,DNVD,2018,Journal of Systems and Software,method/tool,VM.VD,VM.VD.GVD,1,1,1,1,0,4,VM.VA,,,,title-only,title,A multi-target approach to estimate software vulnerability characteristics and severity scores,title:79-87,severity,R2,"Multiple stage cues in title: VM.VA, VM.VD; primary chosen by heuristic.",1,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,General Vulnerability Detection,,,,Vulnerability Detection > General Vulnerability Detection,,primary_label_code,TRUE,4
gao2019semantic,Semantic learning and emulation based cross-platform binary vulnerability seeker,BinSeeker,2019,IEEE Transactions on Software Engineering,study,VM.VD,VM.VD.LSVD.SYS.BIN,1,1,1,1,1,5,,,System,,title-only,title,Semantic learning and emulation based cross-platform binary vulnerability seeker,,,,,1,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,Layer-specific Vulnerability Detection,Application layer,Cross-scope and recurring vulnerabilities,,Vulnerability Detection > Layer-specific Vulnerability Detection > Application layer > Cross-scope and recurring vulnerabilities,,taxonomy_figure,TRUE,4
google2019ossfuzz,OSS-Fuzz: Continuous Fuzzing Platform,OSS-Fuzz,2019,\url{https://github.com/google/oss-fuzz},study,unclear,unclear,0,1,1,1,1,4,,Fuzzing,System,,title-only,title,OSS-Fuzz: Continuous Fuzzing Platform,title:4-8,fuzz; fuzzing,R3,Title-only evidence insufficient for stage; keep as unclear.,3,title-only,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,unclear,,,,,,,primary_stage_only,TRUE,4
le2019automated,Automated software vulnerability assessment with concept drift,NVD-JSON SV set,2019,2019 IEEE/ACM 16th International Conference on Mining Software Repositories (MSR),study,VM.VD,VM.VD.GVD,1,1,1,1,1,5,VM.VA,,,,title-only,title,Automated software vulnerability assessment with concept drift,title:33-43,assessment,R2,"Multiple stage cues in title: VM.VA, VM.VD; primary chosen by heuristic.",1,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,General Vulnerability Detection,,,,Vulnerability Detection > General Vulnerability Detection,,primary_label_code,TRUE,4
luo2019tainting,Tainting-assisted and context-migrated symbolic execution of Android framework for vulnerability discovery and exploit generation,CENTAUR,2019,IEEE Transactions on Mobile Computing,method/tool,VM.VD,VM.VD.LSVD.MW.JAVA,1,1,1,1,1,5,,Dynamic analysis; Symbolic execution; Taint analysis,Middleware,,title-only,title,Tainting-assisted and context-migrated symbolic execution of Android framework for vulnerability discovery and exploit generation,,,,,2,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Vulnerability Detection,Layer-specific Vulnerability Detection,Middleware layer,Java/Android frameworks,,Vulnerability Detection > Layer-specific Vulnerability Detection > Middleware layer > Java/Android frameworks,,taxonomy_figure,TRUE,4
ponta2019manually,A manually-curated dataset of fixes to vulnerabilities of open-source software,ICD (SAP),2019,2019 IEEE/ACM 16th International Conference on Mining Software Repositories (MSR),dataset/benchmark,,,1,1,1,1,0,4,,,,,resource,title,A manually-curated dataset of fixes to vulnerabilities of open-source software,,,,Dataset/benchmark resource; excluded from VM-stage assignment in taxonomy coding.,4,title-only,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Dataset/Benchmark,,,,,,,artifact_type,TRUE,4
tufano2019empirical,An empirical study on learning bug-fixing patches in the wild via neural machine translation,BFP datasets,2019,ACM Transactions on Software Engineering and Methodology (TOSEM),study,unclear,unclear,1,1,1,1,1,5,,,,,title-only,title,An empirical study on learning bug-fixing patches in the wild via neural machine translation,title:42-47,patch,R3,Title-only evidence insufficient for stage; keep as unclear.,3,title-only,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,unclear,,,,,,,primary_stage_only,TRUE,4
